ID,nom,fonction,annees,statut,parent,public,support,similaire-a,wikidata,comptoir-du-libre,licence,contexte-usage,label,groupe,version_min,version_max
214,XWiki,Moteur de wiki,2020 ; 2021 ; 2022,R,,,Oui,86,Q526699,11,LGPL-2.1,,,MIMO,10.11.3,
215,Pycharm Community Edition,Environnement de développement,2020 ; 2021 ; 2022,R,,,,97 ; 174 ; 38,Q50557308,400,Apache-2.0,,,MIMO,2020.1,
216,Chamilo,Plateforme d'apprentissage à distance,2020 ; 2021 ; 2022,R,,,,208 ; 209,Q423221,252,GPL-3.0+,Déployé dans l'académie d'Aix-Marseille,,MIMO,1.11.10,
217,Gravitee Community Edition,Outil de gestion d'API,2020 ; 2021 ; 2022,R,,,,,Q97819945,404,Apache-2.0,,,MIMPROD,3.x,
218,OpenSVC,Logiciel d'orchestration applicative et de clustering haute disponibilité,2020 ; 2021 ; 2022,R,,,,,Q100588070,336,GPL-2.0,,,MIMPROD,2.1,
219,Apache Superset,Logiciel de datavisualisation,2021 ; 2022,R,,,Oui,,Q68705831,418,Apache-2.0,,,MIMPROD,1.1.0,
220,uPortal,Portail pour l'enseignement supérieur et le secondaire,2021 ; 2022,R,,,,,Q3547301,419,Apache-2.0,,,MIMO,5.2.x,
221,Tuleap,Gestionnaire de cycle applicatif,2021 ; 2022,R,,,,,Q3541946,325,GPL-2.0,,https://catalogue.numerique.gouv.fr/solutions/tuleap,MIMPROD,12.2-1,
222,Dash,"Cadriciel d'applications web basé sur Flask (Python), React et Plotly.js",2021 ; 2022,O,,,,,Q106081011,424,MIT,,,MIMDEV,1.19.0,
223,Hedgedoc,Outil de partage de notes,2021 ; 2022,O,,,,180,,362,AGPL-3.0,En version 1.7.x à la DINUM,,MIMO,N/A,
224,Lazarus IDE,IDE de programme en FreePascal,2021 ; 2022,R,,,,,,430,"GPL-2.0, LGPL-2.0",,,MIMDEV,2.0.12,
225,FreePascal,Langage de programmation FreePascal,2021 ; 2022,R,,,,,,429,GPL-2.0,,,MIMDEV,3.2.0,
226,MurExpo,Logiciel pédagogique pour créer un mur d'exposition - [me.murexpo.org](https://me.murexpo.org),2021 ; 2022,R,,,,,Q108370859,431,GPL-3.0,,,MIMO,0.6.8,
227,Keycloakify,Outil pour la création de pages de login pour Keycloak,2021 ; 2022,R,Keycloak,Oui,,,Q107693197,458,MIT,,,MIMDEVOPS,4.4.0,
228,gochimitheque,Logiciel de gestion de produits chimiques,2021 ; 2022,R,,,,,,459,GPL-3.0,,,MIMO,2.0.7,
229,fpart,"Outil permettant de trier des fichiers et de les répartir en paquets (appelés ""partitions"")",2021 ; 2022,R,,,,,Q109606717,460,BSD-2-Clause,,,MIMDEV,1.4.0,
230,Publik,Outil de dématérialisation des démarches en ligne,2021 ; 2022,R,,,,205,Q110094718,26,GPL-3.0-only,Démarches en ligne et dématérialisation de processus au sein du ministère de l'éducation nationale et de ses services déconcentrés,https://catalogue.numerique.gouv.fr/solutions/publik,MIMPROD,N/A,
231,PrimTux,Distribution éducative destinée aux écoles primaires,2021 ; 2022,R,,,,,Q27024590,249,GPL-3.0-only,Utilisée dans de nombreux établissements scolaires,,MIMO,Dernière stable,
232,SambaÉdu,Solution de serveur pédagogique libre,2022,R,,,,,Q16675432,253,GPL-3.0-only,,,MIMO,4,
233,Onyxia,Lanceur de conteneurs orienté Data science. Mise en commun de ressources matérielles (CPU/GPU/RAM),2022,R,,Oui,,"AWS, Google Cloud Platform, Microsoft Azure",Q110492908,461,MIT,Onyxia est déployé par l'INSEE sur https://datalab.sspcloud.fr,,MIMDEVOPS,0.26.25,
234,Decidim,Plateforme de participation citoyenne,2022,R,,,,,Q20105575,268,AGPL-3.0,,,MIMO,0.24,
