ID,nom,fonction,annees,statut,parent,public,support,similaire-a,wikidata,comptoir-du-libre,licence,contexte-usage,label,groupe,version_min,version_max
105,OpenLdap,Annuaire,2018 ; 2019 ; 2020 ; 2021 ; 2022,R,,,Oui,,Q682918,98,OLDAP-2.8,Serveur Bureautique,,MIMPROD,2.4,
107,OpenNebula Community Edition,Virtualisation de serveurs,2018 ; 2019 ; 2020 ; 2021 ; 2022,R,,,Oui,,Q1164484,222,Apache-2.0,Infra virtuelle,,MIMPROD,5.10,
108,OpenStack,IaaS - 2,2018 ; 2019 ; 2020 ; 2021 ; 2022,R,,,,,Q1470293,221,Apache-2.0,Infonuage,,MIMPROD,0,
109,Pacemaker,Haute Disponibilté,2018 ; 2019 ; 2020 ; 2021 ; 2022,R,,,,,,236,GPL-2.0,Infra virtuelle,,MIMPROD,Distribution,
110,Packer,Déploiement,2018 ; 2019 ; 2020 ; 2021 ; 2022,O,,,,,,228,MPL-2.0,Services déconcentrés,,MIMPROD,Distribution,
111,PDF (impression de pdf),Export en pdf des fiches GLPI,2018 ; 2019 ; 2020 ; 2021 ; 2022,R,GLPI,,,,,299,AGPL-3.0,,,MIMO,1.5,
112,PDFSam Basic,"Outil de fusion, extraction et découpage de fichiers PDF. Il permet aussi de changer le sens des pages.",2018 ; 2019 ; 2020 ; 2021 ; 2022,R,,,,,Q3898451,169,AGPL-3.0,,,MIMO,4.1.2,
113,Pencil,Outil de maquettage IHM (statique et/ou dynamique),2018 ; 2019,FR,,,,,Q2398265,180,GPL-2.0,,,MIMDEV,3,
114,PHPBB,Outil de forum,2018 ; 2019,FR,,,,,Q14270,199,GPL-2.0,Utilisé au sein d'une forge.,,MIMDEV,3.0.9,
115,PortraitOrLandscape,Orientation de la page,2018 ; 2019 ; 2020 ; 2021 ; 2022,R,LibreOffice,,,,,,LGPL-3.0-only,,,MIMO,2,
116,Postfix,Messagerie system,2018 ; 2019 ; 2020 ; 2021 ; 2022,R,,,Oui,,Q1121334,216,"IPL-1.0, EPL-2.0",Services déconcentrés,,MIMPROD,Distribution,
117,PostGIS,Base de données Géomatique,2018 ; 2019 ; 2020 ; 2021 ; 2022,R,,,Oui,,Q1569955,207,GPL-2.0-or-later,Information géographique,,MIMPROD,2.4,
118,PostgreSQL,Base de données transactionnelle,2018 ; 2019 ; 2020 ; 2021 ; 2022,R,,,Oui,,Q192490,123,PostgreSQL,Base de production,,MIMPROD,10,
119,ProjectLibre,Outil de gestion de projet,2018 ; 2019 ; 2020 ; 2021 ; 2022,R,,,Oui,122 ; 192,Q580985,59,CPA,,,MIMO,1.9.3,
120,Qgis,Système d'information géographique,2018 ; 2019 ; 2020 ; 2021 ; 2022,R,,,Oui,,Q1329181,60,GPL-2.0-or-later,,,MIMO,3.16,
